File Length,C# character-level grammar parse time (seconds),C# character-level grammar reachable SPPF node count,C# character-level grammar full SPPF node count,C# character-level grammar reachable SPPF edge count,C# character-level grammar full SPPF edge count,C# character-level grammar reachable non-token SPPF node count,C# character-level grammar full non-token SPPF node count,C# character-level grammar reachable non-token SPPF edge count,C# character-level grammar full SPPF non-token edge count,C# character-level grammar ambiguity node count,C# character-level grammar GSS node count,C# character-level grammar GSS edge count,C# character-level grammar descriptor count,C# w/o lexical disambiguation output triple set size,C# w/o lexical disambiguation output no. of tokenisations,C# w/o lexical disambiguation lex time (seconds),C# w/o lexical disambiguation parse time (seconds),C# w/o lexical disambiguation total time (seconds),C# w/o lexical disambiguation reachable SPPF node count,C# w/o lexical disambiguation full SPPF node count,C# w/o lexical disambiguation reachable SPPF edge count,C# w/o lexical disambiguation full SPPF edge count,C# w/o lexical disambiguation ambiguity node count,C# w/o lexical disambiguation GSS node count,C# w/o lexical disambiguation GSS edge count,C# w/o lexical disambiguation descriptor count,C# with full lexical disambiguation output triple set size,C# with full lexical disambiguation output no. of tokenisations,C# with full lexical disambiguation lex time (seconds),C# with full lexical disambiguation parse time (seconds),C# with full lexical disambiguation total time (seconds),C# with full lexical disambiguation reachable SPPF node count,C# with full lexical disambiguation full SPPF node count,C# with full lexical disambiguation reachable SPPF edge count,C# with full lexical disambiguation full SPPF edge count,C# with full lexical disambiguation ambiguity node count,C# with full lexical disambiguation GSS node count,C# with full lexical disambiguation GSS edge count,C# with full lexical disambiguation descriptor count
241,0.100248534,1927,8882,2009,11056,868,6937,918,8354,514,10158,19949,37859,629,6554464336723354672247505106232609341440,0.025779552,0.105624328,0.13140388,868,4969,918,6000,445,2379,5147,14548,67,1,0.040930407,0.080274651,0.121205058,711,948,730,1045,20,1453,3469,5756
855,0.40487717100000004,7273,26113,7469,31855,3485,19561,3585,22873,1138,35960,67971,124559,2311,13746874768783381232934841646113506724698129385858564439763997124905791760896615091622063225429876456484090253593313227571200000000,0.053980439000000005,0.139400529,0.19338096800000001,3485,12679,3585,14883,938,8101,18280,45252,267,2,0.115943445,0.139834645,0.25577809,3060,3885,3069,4116,20,4922,12316,22558
1316,0.44466807700000005,11784,34898,12105,41433,5908,25172,6096,28154,1376,49014,88461,165024,3803,55860435273706268273117008491954497178691496315397532073234885860188509206012162290642726530934498524615807481500788788240168584426297965840060302577082251600739434328099231676694337337006489600000000000000,0.07644946200000001,0.15317134100000002,0.229620803,5908,16211,6096,18957,1232,10816,25299,59479,403,1,0.099938785,0.116123528,0.216062313,5202,6026,5246,6341,50,7277,18607,35559
135,0.046627169,965,4382,986,5465,429,3414,443,4164,216,6240,12358,21836,308,767965671819910840320,0.016552071,0.085325915,0.101877986,429,2328,443,2787,179,1329,2969,7622,40,1,0.027374286,0.04737186,0.074746146,406,595,415,659,10,791,1997,3466
1465,0.54552435,14154,53057,14847,65383,6918,40346,7265,47391,2696,50780,98345,200386,3798,651364731384601457805875582043023551272388432169702739345110695896000770436565968823571308847043587702829156383329685083527520665808751745446854913002859655971038241615647174829491098970313232291094069248000000000000,0.068290243,0.174091079,0.242381322,6918,28594,7265,34273,2438,12788,28669,87421,458,1,0.098025571,0.12669618700000002,0.22472175800000002,5452,7050,5558,7606,138,8390,20436,38275
1283,0.54743819,13071,36832,14031,45194,5800,25989,6069,29972,1583,41211,77312,148935,3519,972639440183367107876672982557100385255114752503721095198604232180878003125553146515370057989528406227446233700474757607432778079617919887435962974165764596286970242778029516409458917376000000000,0.093316595,0.14909213300000002,0.24240872800000002,5800,17352,6069,20418,1344,9491,21162,59769,371,1,0.10398755000000001,0.114678475,0.218666025,4431,5435,4495,5820,73,6247,15193,28725
463,0.15843373100000002,3267,10915,3300,13079,1111,7505,1135,8502,453,12709,24653,44745,1285,111806745834369997224283774552357496692673014783705915467160545407911801651200,0.05148843,0.154084617,0.205573047,1111,4943,1135,5846,415,2215,4991,14321,112,1,0.071814863,0.063838924,0.135653787,1088,1462,1107,1584,26,1470,3676,7220
1182,0.288779977,9847,26988,10171,32440,3738,19745,3948,23339,1311,22766,41740,88918,3516,264493908768157181489935556745456080530556971037129555140809466675249694935860870797628268321765609530678659403910551249240308776915380847378783252355781582988526141539362458261243997617562876641280,0.08919246900000001,0.139388273,0.228580742,3738,13988,3948,16729,1270,5233,12123,37061,301,1,0.08934011700000001,0.084913217,0.174253334,2917,3856,3044,4210,72,3049,7688,16623
1822,0.7296496880000001,15839,47377,16227,56174,7930,34929,8114,39778,1866,76186,134729,249160,4242,35927965252847616171864580819914365922023586407946280871777124890544125864389098230311995481440676957533964781755941955387340955110352480943432689671090888767707186087684631762229084696931778180918387068469960452176866435793330354919170714822739317783359023029944320,0.08488981200000001,0.21346593100000003,0.298355743,7930,23448,8114,27274,1640,16896,37053,88662,605,1,0.122546152,0.137359446,0.259905598,7139,8436,7138,8786,5,10663,26336,50037
1614,0.699620279,15124,44760,15524,53332,8382,34091,8566,39425,1827,77767,139618,250709,3088,30237444219525304236940119927648563214128161390860854528260102743115358194353561802124803570107916665500871327901284338165144570445632842853777615506532450883570668756202221478288560964501504000,0.07041918800000001,0.19763518700000002,0.268054375,8382,23668,8566,27461,1563,17602,40044,94044,623,8,0.12709921600000001,0.16640696700000002,0.29350618300000003,7591,9144,7590,9588,45,11291,29114,55419
